"BATTLESBRIDGE",,,,,,,,,,,,
Grid ref,TQ777956,Long,0.566148,Lat,51.631145,,,,,,,
Station no,1280/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.00,2.34,1.75,2.00,,
February,,,,,,,2.69,2.27,0.10,1.18,,
March,,,,,,,1.02,0.98,1.00,1.00,,
April,,,,,,,0.13,1.24,1.78,0.55,,
May,,,,,,,0.88,1.65,1.09,2.20,,
June,,,,,,,1.26,4.50,0.69,2.04,,
July,,,,,,,2.90,2.84,1.66,3.20,,
August,,,,,,,2.31,4.35,0.60,3.33,,
September,,,,,,,2.47,5.72,0.05,4.22,,
October,,,,,,,1.48,2.85,1.92,5.76,,
November,,,,,,,2.69,1.37,2.89,3.24,,
December,,,,,,,1.56,3.20,3.53,2.41,,
Total,,,,,,,20.39,33.31,17.06,31.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,20.39,33.31,17.06,31.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
