"CREWKERNE SCHOOL",,,,,,,,,,,,
Grid ref,ST448099,Long,-2.786095,Lat,50.885938,,,,,,,
Station no,2051/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.68,,
February,,,,,,,,,,4.12,,
March,,,,,,,,,,2.12,,
April,,,,,,,,,,2.96,,
May,,,,,,,,,0.73,1.64,,
June,,,,,,,,,0.93,1.05,,
July,,,,,,,,,2.39,3.08,,
August,,,,,,,,,1.37,5.65,,
September,,,,,,,,,0.06,4.72,,
October,,,,,,,,,3.11,9.62,,
November,,,,,,,,,5.85,4.95,,
December,,,,,,,,,8.58,3.83,,
Total,,,,,,,,,,47.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.02,47.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
