"ARKENGARTHDALE",,,,,,,,,,,,
Grid ref,NZ001029,Long,-1.999966,Lat,54.421537,,,,,,,
Station no,3445/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,-999.00,6.64,4.13,3.52,6.25,,
February,,,,,,,3.93,5.32,0.55,4.35,,
March,,,,,,,2.13,2.34,1.93,2.71,,
April,,,,,,,0.43,1.06,3.15,3.04,,
May,,,,,,,2.37,5.25,0.80,1.42,,
June,,,,,,,1.32,3.92,1.75,1.32,,
July,,,,,,,5.50,3.11,2.27,5.49,,
August,,,,,,-999.00,7.56,3.36,0.81,2.36,,
September,,,,,,,4.16,4.24,0.74,3.16,,
October,,,,,,3.50,3.90,3.69,4.07,7.00,,
November,,,,,,1.58,3.06,1.04,7.47,6.87,,
December,,,,,,5.93,4.89,5.23,8.90,6.19,,
Total,,,,,,-999.00,45.89,42.69,35.96,50.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,11.01,45.89,42.69,35.96,50.16,,
Difference,NaN,NaN,NaN,NaN,NaN,-1010.01,0.00,0.00,0.00,0.00,,
