CHISLEHURST HEATHFIELD LODGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8312,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.32,2.41,,,,,,,,,,
February,0.94,1.06,,,,,,,,,,
March,2.14,1.32,,,,,,,,,,
April,0.38,3.10,,,,,,,,,,
May,0.75,0.72,,,,,,,,,,
June,0.37,2.42,,,,,,,,,,
July,1.51,3.43,,,,,,,,,,
August,1.82,0.75,,,,,,,,,,
September,2.31,4.74,,,,,,,,,,
October,3.61,0.97,,,,,,,,,,
November,1.48,0.48,,,,,,,,,,
December,2.76,1.39,,,,,,,,,,
Total,19.39,22.79,,,,,,,,,,
Calc annual,19.39,22.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
