"HARROGATE BONNY CAP, SCARGILL RES.",,,,,,,,,,,,,,,,,,,,
Grid ref,SE221540,Long,-1.664497,Lat,53.981589,Elevation,700,ft,,,,,,,,,,,,
Station no,3352,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,2.17,4.08,4.03,1.85,1.4,2.3,2.82,1.05,4.18,1.2,1.81,1.33
February,,,,,,,,,2.35,1.7,4.32,1.3,1.12,3.22,3.55,1.72,2.04,1.86,2.13,0.97
March,,,,,,,,4.01,0.76,1.53,0.49,1.81,1.06,3.82,1.93,2.94,2.01,2.53,4.58,3.93
April,,,,,,,,2.19,2.66,2.6,1.81,2.89,1.45,1.56,2,2.32,0.82,1.99,2.81,3.02
May,,,,,,,,1.05,2.33,3.21,1.52,1.44,2.87,4.06,2.97,0.81,2.44,4.63,3.26,1.87
June,,,,,,,,4.75,1.79,1.53,3.38,1.53,1.98,2.18,1.92,1.5,1.17,4.5,1.14,3.41
July,,,,,,,,1.03,1.15,1.81,3.28,2.01,2.15,4.05,3.63,1.06,2.04,2.3,3.86,4.31
August,,,,,,,,4.63,3.29,1.49,5.77,1.39,3.22,3.95,3.92,3.87,2.62,2.29,2.3,4.03
September,,,,,,,,3.09,0.98,3.64,0.73,1.05,1.13,4.36,1.49,2.22,0.76,1.09,3.61,2.07
October,,,,,,,,1.94,4.93,2.95,3.93,2.16,3.54,8.49,0.88,1.97,5.12,8.61,2.11,2.6
November,,,,,,,,2.19,2.15,1.29,3.84,4.14,2.08,1.88,3.24,4.89,3.99,2.8,2.01,1.25
December,,,,,,,,3.33,3.92,3.14,3.46,2.99,2.63,1.54,1.78,0.72,2.17,4.01,1.55,4.72
Total,,,,,,,,,28.48,28.97,36.56,24.56,24.63,41.41,30.13,25.07,29.36,37.81,31.17,33.51
