PORTHCAWL,,,,,,,,,,,,
Grid ref,SS816769,Long,-3.706339,Lat,51.478628,,,,,,,
Station no,RR7470,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.08,6.03,2.15,2.06,1.87,,
February,,,,,,1.02,3.04,1.39,2.51,0.37,,
March,,,,,1.69,4.44,2.10,0.99,2.58,3.32,,
April,,,,,1.66,2.39,1.14,2.95,3.79,2.75,,
May,,,,,2.24,0.16,4.49,2.62,1.52,1.81,,
June,,,,,1.12,2.35,2.34,3.84,0.71,2.07,,
July,,,,,4.05,1.22,1.53,2.12,3.26,2.28,,
August,,,,,3.37,4.23,2.53,4.96,2.46,2.30,,
September,,,,,3.02,1.69,1.19,0.96,3.74,3.15,,
October,,,,,2.30,1.68,7.13,5.87,1.61,6.66,,
November,,,,,4.11,4.01,2.81,2.37,1.79,1.25,,
December,,,,,2.43,1.46,2.51,4.86,4.43,7.56,,
Total,,,,47.78,,25.73,36.84,35.08,30.46,35.39,,
Calc annual,0.00,0.00,0.00,0.00,25.99,25.73,36.84,35.08,30.46,35.39,,
Difference,NaN,NaN,NaN,47.78,NaN,-0.00,0.00,-0.00,0.00,0.00,,
