TREDEGAN (NANT-Y-BURCH W.W),,,,,,,,,,,,
Grid ref,SO133115,Long,-3.258584,Lat,51.795405,,,,,,,
Station no,4007/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,8.28,6.26,8.22,7.89,,
February,,,,,,,8.44,9.45,0.55,7.59,,
March,,,,,,,6.55,2.24,7.42,3.44,,
April,,,,,,,0.35,1.72,6.68,5.57,,
May,,,,,,,3.22,5.70,2.35,2.55,,
June,,,,,,,1.01,4.15,2.31,3.00,,
July,,,,,,,5.21,4.65,5.37,6.66,,
August,,,,,,,5.29,5.79,1.51,5.22,,
September,,,,,,,8.09,9.91,0.32,6.62,,
October,,,,,,,5.35,8.12,6.61,10.23,,
November,,,,,,,2.97,2.84,9.83,15.73,,
December,,,,,,,9.62,5.95,16.92,8.88,,
Total,,,,,,,64.38,66.78,68.09,83.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,64.38,66.78,68.09,83.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
