"OXFORD (NORTHMOOR ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4152,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,1.88,0.57,3.12,3.27,2.51,4.20,2.60,,
February,,,,0.31,2.54,1.60,4.47,0.91,1.12,1.18,,
March,,,,1.93,0.49,1.73,3.11,0.36,1.63,2.81,,
April,,,,1.90,3.65,1.52,2.64,0.09,3.59,1.51,,
May,,,,0.61,1.21,0.35,2.65,1.82,1.01,1.75,,
June,,,,1.31,4.21,3.73,1.58,1.20,2.26,0.69,,
July,,,,0.58,0.42,3.73,1.29,1.24,4.03,2.32,,
August,,,,1.58,1.92,0.84,0.36,3.50,1.83,0.09,,
September,,,,1.77,4.32,3.31,2.06,2.29,0.51,0.94,,
October,,,,1.34,3.64,1.32,2.83,2.82,5.42,2.63,,
November,,,,1.53,4.04,2.55,1.20,3.08,4.06,6.99,,
December,,,,5.55,3.11,1.67,1.83,2.76,1.25,1.16,,
Total,,,,20.29,30.12,25.47,27.29,22.58,30.91,24.67,,
Calc annual,0.00,0.00,0.00,20.29,30.12,25.47,27.29,22.58,30.91,24.67,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
