NEW GALLOWAY KEN BRIDGE,,,,,,,,,,,,
Grid ref,NX641783,Long,-4.130388,Lat,55.080483,,,,,,,
Station no,RR8839,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,7.59,4.95,2.58,,,,,,
February,,,,5.51,3.51,3.10,,,,,,
March,,,,10.24,2.97,5.09,,,,,,
April,,,2.35,1.34,3.74,3.40,,,,,,
May,,,2.58,2.34,2.20,1.78,,,,,,
June,,,1.48,3.00,1.85,2.46,,,,,,
July,,,2.50,3.78,3.02,1.73,,,,,,
August,,,2.61,7.41,6.16,4.03,,,,,,
September,,,3.69,5.06,3.92,1.47,,,,,,
October,,,2.86,10.23,2.58,3.90,,,,,,
November,,,5.11,3.61,4.04,6.59,,,,,,
December,,,5.76,4.97,4.52,3.85,,,,,,
Total,,,,65.08,43.46,39.98,,,,,,
Calc annual,0.00,0.00,28.94,65.08,43.46,39.98,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
