"OSBORNE ROYAL NAVAL COLLEGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,610,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,,4.29,,,
February,,,,,,,,,1.51,,,
March,,,,,,,,,1.07,,,
April,,,,,,,,,2.53,,,
May,,,,,,,,,1.65,,,
June,,,,,,,,,1.46,,,
July,,,,,,,,,3.12,,,
August,,,,,,,,,2.21,,,
September,,,,,,,,,6.82,,,
October,,,,,,,,,2.26,,,
November,,,,,,,,,2.55,,,
December,,,,,,,,,3.76,,,
Total,,,,,,,,,33.23,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.23,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,,
