NORTH PARK SANDWICK ORKNEY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR15,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,4.04,,,,,,,,,
February,,,1.38,,,,,,,,,
March,,,1.77,,,,,,,,,
April,,,2.34,,,,,,,,,
May,,,2.82,,,,,,,,,
June,,,2.26,,,,,,,,,
July,,,2.48,,,,,,,,,
August,,,1.99,,,,,,,,,
September,,,2.96,,,,,,,,,
October,,,5.59,,,,,,,,,
November,,,2.27,,,,,,,,,
December,,,3.78,,,,,,,,,
Total,,,33.68,,,,,,,,,
Calc annual,0.00,0.00,33.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
