DARVEL (BURGH YARD),,,,,,,,,,,,,,,,,,,,
Grid ref,NS563376,Long,-4.282908,Lat,55.610716,Elevation,347,ft,,,,,,,,,,,,
Station no,5230,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.27,5.33,3.47,3.97,2.88,3.18,5.25,4.59,1.5,4
February,,,,,,,,,,,3.09,2.76,1.87,3.71,2.02,1.84,3.18,3.82,2.22,3.6
March,,,,,,,,,,,3.6,2.17,0.9,3.03,1.7,3.26,4.35,1.03,2.51,1.77
April,,,,,,,,,,,2.85,2.06,2.38,1.43,2.88,1.04,2.88,1.76,2.84,3.27
May,,,,,,,,,,,1.46,2.11,2.29,2.57,4.02,2.22,2.38,3.26,1.69,1.47
June,,,,,,,,,,2.62,2.08,2.95,1.27,4.44,2.17,2.83,2.11,2.2,3.5,2.46
July,,,,,,,,,,5.35,3.58,4.34,5.94,4.52,1.34,5.08,4.57,4.2,6.81,3.17
August,,,,,,,,,,6.14,5.34,4.63,4.26,4.72,1.71,6.27,4.72,5.1,0.96,3.73
September,,,,,,,,,,11.09,3.85,2.94,3.62,7.71,4.27,4.36,4.01,4.47,1.39,2.84
October,,,,,,,,,,3.71,1.4,3.8,2.85,10.47,2.94,5.02,5.45,4.39,6.63,2.44
November,,,,,,,,,,4.15,6.2,2.58,7.61,6.89,1.97,2.05,2.18,1.8,5.02,5.92
December,,,,,,,,,,1.93,7.97,5.14,4.96,7.16,7.69,6.47,5.04,5.6,5.83,6.55
Total,,,,,,,,,,,45.69,40.81,41.42,60.62,35.59,43.62,46.12,42.22,40.9,41.22
,,,,,,,,,,,,,,,,,,,,
G moved May 1950,,,,,,,,,,,,,,,,,,,,
Station no,5230,,,,,,,,,,,,,,,,,,,
Midas,13420,,,,,,,,,,,,,,,,,,,
Hyd Stn,646054,,,,,,,,,,,,,,,,,,,
