"BALFLUIG",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,,2.49,1.78,1.54,1.90,2.10,1.61,,,
February,,,,1.54,4.29,1.90,1.42,1.13,5.94,,,
March,,,,1.31,1.19,1.90,1.90,1.90,3.56,,,
April,,,,3.54,0.56,1.85,3.44,2.61,3.32,,,
May,,,,3.66,1.66,2.25,2.01,3.44,1.78,,,
June,,,,2.02,2.37,3.44,4.11,2.97,4.39,,,
July,,,,4.39,3.32,3.56,5.70,3.20,2.73,,,
August,,,,2.61,4.03,4.87,3.32,2.37,4.75,,,
September,,,,1.30,2.10,3.08,3.20,2.66,2.13,,,
October,,,,3.81,3.56,4.51,7.48,9.02,4.98,,,
November,,,,2.85,7.48,2.01,-999.00,1.06,2.62,,,
December,,,,0.35,2.01,2.37,3.32,6.17,2.85,,,
Total,31.54,29.57,29.64,29.87,34.33,33.28,40.65,38.63,40.66,32.83,,
Calc annual,0.00,0.00,0.00,29.87,34.35,33.28,37.80,38.63,40.66,0.00,,
Difference,31.54,29.57,29.64,0.00,-0.02,0.00,2.85,0.00,0.00,32.83,,
