FRAMPTON COTTERELL (PUMPING STATION),,,,,,,,,,,,
Grid ref,ST670818,Long,-2.477153,Lat,51.534133,,,,,,,
Station no,2194/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.05,2.81,3.65,2.34,2.53,3.78,2.82,,
February,,,,3.09,1.72,0.22,2.69,3.32,0.29,1.93,,
March,,,,3.54,1.19,0.54,2.61,1.01,3.05,1.76,,
April,,,,0.59,0.87,1.36,0.03,0.87,2.46,1.12,,
May,,,,1.71,4.27,0.47,1.24,2.68,1.27,0.74,,
June,,,,4.36,2.48,1.94,1.62,3.77,1.80,1.99,,
July,,,,2.86,0.06,1.96,2.93,2.70,2.31,4.06,,
August,,,,3.61,0.83,3.89,2.51,2.54,2.46,4.31,,
September,,,,5.12,1.23,2.46,3.48,4.77,0.15,4.20,,
October,,,,3.24,1.40,1.14,2.51,1.95,2.87,5.38,,
November,,,,5.79,2.84,0.68,2.07,2.22,3.01,4.40,,
December,,,,1.87,2.92,3.14,2.14,3.53,5.07,4.19,,
Total,,,,37.83,22.62,21.45,-999.00,31.89,28.52,36.90,,
Calc annual,0.00,0.00,0.00,37.83,22.62,21.45,26.17,31.89,28.52,36.90,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,-1025.17,0.00,0.00,0.00,,
