EDMONDBYER (HAREHOPE BURN),,,,,,,,,,
Grid ref,NZ011482,Long,-1.984403,Lat,54.828635,Elevation,970,ft,,
Station no,3553/8/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.53,3.41,3.44,4.12,3.16,3.15,3.45,5.75
February,,,1.74,2.83,3.05,4,3.39,4.31,0.35,3.4
March,,,0.2,1.94,2.34,1.49,1.58,3.17,1.13,3.44
April,,,3.23,0.86,0.6,1.27,0.45,1.99,2.72,1.66
May,,,3.1,4.08,2.04,0.79,1.72,3.85,0.74,2.34
June,,,4.45,2.04,1.72,3.62,1.08,4.05,1.97,0.52
July,,1.25,1.84,1.59,1.45,3.11,3.39,3.35,1,5.01
August,,3.23,4.25,8.19,1.1,9.72,4.44,3.15,0.5,3.95
September,,4.73,2.57,3.75,1.29,4,3.64,2.95,1.04,3.35
October,,4.63,2.13,4.8,2.4,1.8,2.67,2.42,2.2,10.95
November,,3.78,2.28,5.8,1.99,1.1,2.62,0.54,6.8,4.1
December,,3.29,1.3,4.13,4.35,4.28,3,5.47,6.6,3.3
Total,,,27.62,43.42,25.77,39.3,31.14,38.4,28.5,47.77
,,,,,,,,,,
HAREHOPE BURN ,NZ0119848185,01/01/1952,31/12/1967,,,,,,,
Station number also RR4094,,,,,,,,,,
