ST. LEONARDS (ASHBROOKE LODGE),,,,,,,,,,,,
Grid ref,TQ796120,Long,0.551637,Lat,50.879583,,,,,,,
Station no,545/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.21,1.75,5.22,5.70,2.31,4.48,3.17,3.28,,
February,,,1.54,2.79,2.12,1.15,4.85,3.11,0.05,2.32,,
March,,,0.30,3.84,1.59,0.48,1.68,1.42,1.64,2.81,,
April,,,2.05,0.44,0.32,1.63,0.32,1.23,2.40,1.48,,
May,,,1.50,2.22,4.65,0.48,1.36,2.39,0.94,2.91,,
June,,,1.65,2.53,2.17,2.33,0.75,4.32,0.64,2.07,,
July,,,3.07,3.70,0.78,2.64,4.47,2.98,1.79,2.20,,
August,,,2.80,3.59,2.36,3.81,1.88,4.46,0.66,5.15,,
September,,4.68,3.67,3.69,2.33,3.29,4.02,3.78,0.15,2.72,,
October,,3.01,3.20,3.35,4.85,1.64,1.76,4.80,3.58,7.36,,
November,,4.33,2.36,5.62,1.36,0.95,3.19,2.33,5.40,6.70,,
December,,3.70,0.83,2.07,4.39,4.36,1.89,4.33,7.54,3.67,,
Total,,,24.18,35.59,32.14,28.46,28.48,39.63,27.96,42.67,,
Calc annual,0.00,15.72,24.18,35.59,32.14,28.46,28.48,39.63,27.96,42.67,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
