"SLAIDBURN (SADDLE HILL)",,,,,,,,,,,,
Grid ref,SD690579,Long,-2.474586,Lat,54.016170,,,,,,,
Station no,3088,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.25,6.80,10.82,7.50,4.88,8.27,,
February,,,,,2.50,1.96,5.87,12.23,2.62,7.12,,
March,,,,,2.03,3.78,7.78,2.26,4.48,2.04,,
April,,,,,4.26,2.53,1.51,2.77,5.59,6.07,,
May,,,,,7.05,4.67,3.71,7.05,1.98,2.07,,
June,,,,7.01,5.10,3.53,2.99,4.38,5.06,3.75,,
July,,,,13.66,2.10,7.19,9.15,5.12,6.12,13.04,,
August,,,,9.31,1.22,17.46,8.85,8.98,0.94,5.75,,
September,,,,13.31,6.20,5.11,10.78,8.72,0.84,5.55,,
October,,,,19.43,5.57,5.89,12.10,7.61,9.71,4.92,,
November,,,,12.09,4.00,3.79,3.31,2.80,8.34,14.17,,
December,,,,15.34,11.76,9.57,10.27,6.06,13.90,10.05,,
Total,,,,,57.04,72.28,87.14,75.48,64.46,82.80,,
Calc annual,0.00,0.00,0.00,90.15,57.04,72.28,87.14,75.48,64.46,82.80,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
