INVERMEARAN (OLD SITE),,,,,,,,,,
Grid ref,NN402419,Long,-4.600572,Lat,56.541843,Elevation,1150,ft,,
Station no,5557/2/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5,7.67,18.38,10.7,,
February,,,,,5.98,5.01,8.45,5.2,,
March,,,,,1.35,5.71,11.1,3.68,,
April,,,,,4.96,5.2,3.58,5.9,,
May,,,,,6.13,9.27,2.68,8.03,,
June,,,,,4.98,7.23,4.2,2.9,,
July,,,,,1.05,8.39,6.45,4.39,,
August,,,,,2.49,7.25,8.78,8.26,,
September,,,,,9.51,9.12,6.4,8.16,,
October,,,,,10.84,9.33,15.41,,,
November,,,,,4.69,8.83,4.28,,,
December,,,,,23.65,21.89,16.77,,,
Total,,,,,80.63,104.9,106.48,,,
,,,,,,,,,,
Station no,5557/2/5,,,,,,,,,
Midas,15122,,,,,,,,,
Hyd Stn,862299,,,,,,,,,
