WHITCHURCH,,,,,,,,,,,,
Grid ref,SJ543410,Long,-2.681840,Lat,52.964405,,,,,,,
Station no,2265/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.77,4.42,,
February,,,,,,,,,0.33,2.26,,
March,,,,,,,,,1.71,1.55,,
April,,,,,,,,,3.62,1.32,,
May,,,,,,,,,2.45,1.80,,
June,,,,,,,,,2.23,1.85,,
July,,,,,,,,3.58,2.12,2.78,,
August,,,,,,,,2.55,1.29,4.47,,
September,,,,,,,,5.31,0.32,4.28,,
October,,,,,,,,2.67,2.31,4.21,,
November,,,,,,,,2.16,3.66,4.52,,
December,,,,,,,,3.09,5.49,2.26,,
Total,,,,,,,,,29.30,35.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.36,29.30,35.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
