"DENT STONE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4459,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,7.55,3.60,14.72,13.59,9.35,10.18,5.19,12.10,7.95,2.16,,
February,5.40,7.21,6.31,0.78,3.82,1.48,8.95,4.46,2.62,4.59,,
March,4.79,3.72,7.76,3.85,7.65,2.81,7.58,4.24,3.56,5.69,,
April,2.82,3.79,4.71,0.74,4.35,1.38,2.92,4.02,2.12,2.07,,
May,4.04,2.25,4.01,2.89,3.31,6.23,1.17,4.32,6.67,2.46,,
June,2.99,3.60,5.32,2.52,0.92,4.82,4.49,5.43,5.49,8.23,,
July,3.69,9.22,4.83,6.66,2.87,3.93,3.55,6.25,1.55,7.47,,
August,2.00,3.51,5.48,6.24,9.73,4.06,5.95,7.31,6.12,8.38,,
September,4.98,5.48,10.10,4.27,8.07,6.24,7.42,6.35,6.72,6.20,,
October,14.46,7.67,10.65,8.76,12.73,4.87,4.54,11.54,7.04,3.79,,
November,3.03,2.80,10.20,5.36,4.61,8.52,3.91,13.94,3.16,2.68,,
December,4.22,7.38,7.53,4.61,2.51,5.24,9.31,7.31,3.49,3.70,,
Total,59.97,60.23,91.62,60.27,69.92,59.76,64.98,87.27,56.49,57.42,,
Calc annual,59.97,60.23,91.62,60.27,69.92,59.76,64.98,87.27,56.49,57.42,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
