"N. SHIELDS WHITLEY CONVALESCENT HOME",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4819,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,1.04,2.93,0.81,1.39,2.00,0.53,3.07,2.09,1.01,,
February,,1.82,2.31,1.51,1.03,0.65,2.48,1.98,0.99,3.72,,
March,,0.28,3.33,2.13,0.71,0.63,1.95,2.65,0.60,0.65,,
April,,3.52,1.73,0.86,0.44,0.74,3.41,4.15,1.49,2.00,,
May,1.02,1.08,1.78,2.55,2.21,0.37,0.84,2.23,2.29,1.99,,
June,2.05,2.23,1.92,1.34,1.26,2.07,1.60,1.46,1.75,3.64,,
July,0.18,3.06,3.10,2.24,1.42,5.74,2.47,2.86,0.60,4.30,,
August,1.57,1.23,2.25,3.24,2.02,3.59,1.34,7.31,4.01,3.26,,
September,0.61,3.17,4.65,1.58,1.84,2.88,2.88,1.67,2.05,0.91,,
October,3.88,1.82,4.85,2.91,1.69,3.06,1.97,2.87,1.42,0.54,,
November,2.51,1.35,3.10,1.11,3.56,4.97,2.67,1.51,5.42,3.51,,
December,3.30,1.85,3.77,0.59,3.69,1.39,5.96,2.14,2.32,0.86,,
Total,,22.45,35.72,20.87,21.26,28.09,28.10,33.90,25.03,26.39,,
Calc annual,15.12,22.45,35.72,20.87,21.26,28.09,28.10,33.90,25.03,26.39,,
Difference,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
