BROADSTAIRS,,,,,,,,,,
Grid ref,TR391681,Long,1.4331853,Lat,51.361611,Elevation,128,ft,,
Station no,306/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.9,1.44,3,4.52,1.18,2.07,1.75,2.15
February,,,1.44,2.42,1.1,1.31,2.82,2.46,0.04,1.33
March,,,0.23,2.04,1.5,0.63,0.87,1.39,1.32,1.41
April,,,,0.21,0.19,0.82,0.3,1.37,1.75,0.9
May,,1.01,,1.48,3.13,0.64,0.95,1.68,0.44,2.58
June,,1.88,,1.3,1.54,2.04,0.61,5.06,4.26,1.32
July,,0.73,,2.42,3.21,1.36,2.2,2.17,3.71,3.32
August,,2.5,1.78,3,1.1,3.63,1.75,3.31,2.91,2.49
September,,5.65,3.18,0.71,0.84,1.33,3.13,2.73,0.37,3.94
October,,1.84,2.08,1.47,6.25,1.47,1.07,3.56,2.91,6.87
November,,3.46,1.77,4.24,0.68,0.8,3.92,1.66,5.49,3.34
December,,2.13,1.11,1.15,1.96,1.64,1.25,3.64,4.84,3.2
Total,,,,21.88,24.5,20.19,20.05,31.1,29.79,32.85
