"GUISBOROUGH SKELTON RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4567,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.36,,1.40,1.73,,,,,,,,
February,1.89,,1.05,2.63,,,,,,,,
March,1.62,,2.01,1.25,,,,,,,,
April,1.73,,3.83,1.14,,,,,,,,
May,1.50,,1.37,1.80,,,,,,,,
June,3.12,,,3.00,,,,,,,,
July,4.06,,1.98,,,,,,,,,
August,1.80,,2.55,1.74,,,,,,,,
September,4.23,,1.53,3.60,,,,,,,,
October,,,4.18,2.82,,,,,,,,
November,3.02,,4.27,1.71,,,,,,,,
December,3.63,,3.02,1.50,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,26.96,0.00,27.19,22.92,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
