"GAS WORKS, KENDAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD518920,Long,-2.742528,Lat,54.321292,Elevation,146,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.91,5.13,5.06,3.73,6.54,5.56,12.76,2,8.13,5.06,7.26,4.06,7.63,2.27,5.1,4.14,7.87,5.67,2.07,0.7,6.19,8.25,5.83,4.69,5.36,5.01,8.82,3.34,3.65,6.35,5.9,3.22,4.83,,,,,,
February,,,5.34,6.11,0.57,5.7,6.41,3.77,7.19,0.56,0.31,5.43,0.08,4.21,0.27,6.98,2.14,6.93,2.79,5.42,1.96,5.65,2.03,3.38,2.36,6.1,3.99,0.39,4.39,3.55,6.03,4.9,1.27,2.82,2.94,,,,,,
March,,,3.58,1.35,2.31,1.5,2.3,4.27,4.77,1.23,3.33,0.87,3.32,3.22,3.02,1.35,2.55,1.67,2.91,2.29,5.47,3.37,3.79,1.23,0.36,3.18,2.44,5.96,3.98,2.19,2.83,4.64,3.39,1.05,3.35,,,,,,
April,,,2.38,4.07,2.21,4.4,1.52,2.47,1.74,1.8,2.14,2.52,3.36,1.94,3.31,4.61,0.64,3,0.66,1.93,1.78,1.47,2.1,3.08,3.1,2.67,1.52,5.13,2.05,5.39,3.63,2.67,2.79,3.07,,,,,,,
May,,,3.42,3.94,6.07,4.93,2.05,2.43,0.61,2.24,1.48,2.79,4.41,2.2,4.7,0.36,1.2,2.71,5.39,0.67,1,3.21,3.69,5.1,2.7,3.71,1.52,3.19,1.65,2.89,1.61,0.96,2.64,2.51,,,,,,,
June,,,2.67,0.74,4.57,0.19,2.99,3.39,6.24,2.38,2.56,7.35,2.09,1.93,3.81,4.94,3.59,2.73,5.24,3.54,0.83,0.37,0.73,4.96,3.52,4.51,4.35,3.36,7.25,1,3.41,0.79,4.41,3.52,,,,,,,
July,,,5.9,4.7,4.71,2.04,4.31,5,7.66,4.5,3.79,6.75,5.99,3.5,2.99,2.26,4.77,2.97,6.59,7.23,5.46,2.29,4.22,4.98,3.62,2.44,5.6,4.37,2.51,4.33,4.7,3.31,2.02,6.58,,,,,,,
August,,,5.41,9.4,3.6,4.6,4.58,7.77,8.03,7.27,5.64,3.79,1.91,3.17,4.61,3.57,3.67,2.1,3.95,2.32,1.46,4.64,4.71,8.23,4.11,2.05,4.6,0.19,6.5,2.82,8.78,4.43,5.9,5.42,,,,,,,
September,,,4.09,6.15,6.62,4.19,4.82,7.22,3.86,2.58,3.21,1.95,5.61,1.13,6.43,8.9,5.92,4.99,1.79,2.15,4.02,1.55,5.85,5.49,5.64,4.21,8.84,4.41,6.22,1.64,9.84,5.3,4.14,7.7,,,,,,,
October,,,2,9.04,4.58,5.95,3.63,5.39,7.09,4.32,9.04,4.7,7.19,5.28,7.11,7.45,4.6,2.22,13.09,1.33,5.19,7.05,5.14,6.79,5.05,7.48,0.64,0.67,4.25,6.53,4.67,0.93,3.29,2.02,,,,,,,
November,,,3.79,8.1,3.6,1.53,6.39,7,9.07,9.7,5.85,9.88,3.84,1.99,1.02,4.85,5.22,1.47,7.01,8.08,5.68,3.3,1.32,3.04,8.37,0.2,7.95,8.12,4.72,6.22,5,7.82,2.46,7.52,,,,,,,
December,,,6.98,5.76,9.65,6.27,1.82,1.3,4.39,8.43,4.9,4.76,7.02,0.96,7.58,3.43,7.86,3.98,5.05,3.13,5.7,3.1,6.54,2.89,4.79,3.12,5.8,3.15,4.91,9.07,2.61,10.85,5.23,3.56,,,,,,,
Total,,,50.47,64.49,53.55,45.03,47.36,55.57,73.41,47.01,50.38,55.85,52.08,33.59,52.48,50.97,47.26,38.91,62.34,43.76,40.62,36.7,46.31,57.42,49.45,44.36,52.61,43.95,57.25,48.97,56.76,52.95,43.44,48.99,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Sept mistrans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
