"ASHSTEAD, OAKFIELD ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8228,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,0.80,0.95,2.91,3.57,,
February,,,,,,,4.04,0.93,0.99,2.19,,
March,,,,,,,4.73,1.76,0.86,3.77,,
April,,,,,,,1.04,2.18,3.87,3.08,,
May,,,,,,,1.71,1.51,1.98,0.15,,
June,,,,,,,1.68,1.74,0.96,1.18,,
July,,,,,,,1.25,5.13,5.40,2.02,,
August,,,,,,,2.89,4.86,1.00,2.48,,
September,,,,,,,1.78,1.65,4.60,1.89,,
October,,,,,,,4.30,3.56,1.24,0.74,,
November,,,,,,,5.19,1.14,2.67,1.56,,
December,,,,,,,2.94,1.71,2.11,4.22,,
Total,,,,,,,32.35,27.12,28.59,26.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.35,27.12,28.59,26.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
