"LLANTRISANT",,,,,,,,,,,,
Grid ref,ST028849,Long,-3.403379,Lat,51.554583,,,,,,,
Station no,4064/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,7.44,8.68,5.69,5.59,6.55,,
February,,,,,,0.57,7.21,7.23,0.59,4.28,,
March,,,,,,2.53,9.30,1.80,6.41,2.39,,
April,,,,,,2.81,0.25,1.57,4.95,4.05,,
May,,,,,,1.62,2.50,,1.01,1.80,,
June,,,,,,4.15,1.51,,3.01,2.87,,
July,,,,,,6.26,6.47,6.56,5.30,9.89,,
August,,,,,,7.85,5.78,8.92,1.23,3.85,,
September,,,,,,6.69,8.83,9.86,0.57,6.16,,
October,,,,,,2.98,7.33,7.59,7.41,9.09,,
November,,,,,,1.91,3.11,3.91,6.92,12.93,,
December,,,,,,7.47,4.43,4.98,12.44,7.87,,
Total,,,,,,52.28,65.40,,55.43,71.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,52.28,65.40,58.11,55.43,71.73,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,-0.00,0.00,,
