MASHAM BURTON HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6020,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,5.35,2.25,4.18,2.42,0.89,0.92,,
February,,,,3.28,2.31,2.49,0.79,0.59,1.82,1.02,,
March,,,,2.14,2.90,2.33,2.94,1.24,4.43,3.09,,
April,,,,2.89,2.08,2.52,2.63,1.30,2.44,3.64,,
May,,,,1.59,1.39,2.78,5.76,2.23,0.89,2.98,,
June,,,,4.01,0.89,2.50,1.01,0.24,3.29,0.18,,
July,,,,3.92,4.54,1.16,4.79,0.94,4.25,2.56,,
August,,,,1.05,1.62,1.97,2.77,1.59,1.91,4.24,,
September,,,,4.77,1.39,3.44,1.66,3.43,0.61,0.67,,
October,,,,3.08,1.38,4.76,5.30,2.72,0.57,4.12,,
November,,,,2.98,1.67,2.68,3.03,2.65,5.45,0.75,,
December,,,,1.45,3.83,0.64,4.59,2.07,1.78,1.51,,
Total,,,,,29.35,29.52,39.45,21.42,28.33,25.68,,
Calc annual,0.00,0.00,0.00,31.16,29.35,29.52,39.45,21.42,28.33,25.68,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,,
