"LIMAVADY, DOGLEAP",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7984,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,3.02,3.11,2.94,2.51,4.82,4.99,,,,
February,,,4.11,4.23,1.51,4.07,2.19,1.68,,,,
March,,,1.54,1.48,0.83,3.26,2.08,2.73,,,,
April,,,3.24,2.77,3.11,3.31,1.73,2.48,,,,
May,,,2.35,2.30,4.63,3.75,3.64,1.53,,,,
June,,,2.98,1.37,2.65,1.19,2.82,3.18,,,,
July,,,2.98,2.96,3.74,5.82,3.51,3.83,,,,
August,,,3.34,4.85,4.84,2.75,3.50,3.53,,,,
September,,,2.24,4.47,5.86,3.80,2.88,4.63,,,,
October,,,1.16,4.34,2.43,2.48,5.53,3.09,,,,
November,,,2.40,4.05,1.73,2.81,4.82,4.26,,,,
December,,,3.07,5.47,3.40,5.21,1.91,1.74,,,,
Total,,,32.43,41.40,37.67,40.96,39.43,37.67,,,,
Calc annual,0.00,0.00,32.43,41.40,37.67,40.96,39.43,37.67,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,
