HARTEST HOP HALL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8102,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,2.82,2.66,1.91,2.80,1.39,,,,,
February,,,1.25,0.64,2.12,2.69,4.08,,,,,
March,,,3.19,1.83,4.65,1.61,3.50,,,,,
April,,,0.33,2.30,0.89,0.99,1.64,,,,,
May,,,1.33,1.95,1.18,1.82,1.67,,,,,
June,,,1.84,2.64,1.17,1.23,2.71,,,,,
July,,,1.68,1.58,1.97,4.02,1.51,,,,,
August,,,6.79,1.07,0.95,2.93,3.96,,,,,
September,,,2.45,1.14,1.19,1.75,1.41,,,,,
October,,,2.02,3.36,1.91,1.14,3.46,,,,,
November,,,2.62,1.89,2.78,2.47,3.42,,,,,
December,,,2.56,0.45,6.70,4.52,2.93,,,,,
Total,,,28.88,21.51,27.42,27.97,31.68,,,,,
Calc annual,0.00,0.00,28.88,21.51,27.42,27.97,31.68,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
