"STROOD, KENT, (24 HIGH STREET)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6944,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,3.79,2.56,3.72,,,
February,,,,,,1.83,4.62,1.51,1.35,,,
March,,,,,,1.57,2.22,3.28,1.03,,,
April,,,,,,0.36,2.60,1.99,1.64,,,
May,,,,,,2.73,0.74,2.48,0.45,,,
June,,,,,,1.54,3.50,1.69,0.53,,,
July,,,,,,3.36,2.97,6.65,1.05,,,
August,,,,,,3.45,3.67,1.28,1.96,,,
September,,,,,,0.13,5.72,1.28,2.56,,,
October,,,,,,7.01,0.94,2.08,2.32,,,
November,,,,,,2.84,1.70,0.56,1.34,,,
December,,,,,,1.58,1.53,2.56,4.70,,,
Total,,,,,,,34.00,27.92,22.65,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.40,34.00,27.92,22.65,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,,
