"SOUTHPORT HESKETH PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.13,3.80,3.28,2.06,,,,,,,,
February,1.88,0.33,3.16,3.45,,,,,,,,
March,3.59,2.47,1.15,1.26,,,,,,,,
April,3.84,1.29,1.35,2.50,,,,,,,,
May,3.40,1.32,1.53,2.35,,,,,,,,
June,2.55,0.44,2.03,0.54,,,,,,,,
July,4.62,1.67,4.69,2.93,,,,,,,,
August,1.44,4.88,5.82,4.59,,,,,,,,
September,3.09,1.78,2.77,3.48,,,,,,,,
October,1.09,2.74,0.55,4.34,,,,,,,,
November,1.26,2.43,2.21,4.49,,,,,,,,
December,2.30,3.48,3.73,4.47,,,,,,,,
Total,32.19,26.63,32.27,36.46,,,,,,,,
Calc annual,32.19,26.63,32.27,36.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
