HAZELBURY BRYAN RECTORY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6697,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,6.07,4.30,1.79,3.50,5.49,2.94,1.02,2.89,0.83,5.93,,
February,1.25,0.00,2.10,7.18,3.44,0.35,0.66,4.17,2.88,5.58,,
March,2.50,4.28,1.11,0.42,3.14,3.68,4.48,6.44,1.09,0.65,,
April,4.98,0.58,0.98,0.12,3.39,3.90,0.76,3.67,1.99,3.05,,
May,2.72,3.28,0.86,1.73,3.01,0.40,0.13,1.65,4.87,1.54,,
June,3.50,1.97,2.47,2.44,3.31,1.64,2.93,3.68,1.04,1.19,,
July,5.13,2.84,2.96,3.38,6.78,3.58,1.41,0.48,0.40,1.25,,
August,4.31,8.42,5.81,1.39,3.09,3.60,1.59,3.79,1.43,1.37,,
September,2.82,3.71,3.50,2.51,3.38,0.53,8.40,3.62,1.47,2.11,,
October,1.66,14.87,8.48,5.41,6.44,4.94,4.04,1.40,5.35,2.90,,
November,4.76,7.48,5.26,2.69,10.41,9.29,1.30,1.53,5.50,5.73,,
December,2.32,7.53,1.98,6.65,2.86,4.53,8.85,8.89,5.06,3.69,,
Total,42.02,59.26,37.30,37.42,54.74,39.38,35.57,42.21,31.91,34.99,,
Calc annual,42.02,59.26,37.30,37.42,54.74,39.38,35.57,42.21,31.91,34.99,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
