DEANIE GENERATING STATION,,,,,,,,,,
Grid ref,NH294388,Long,-4.841488,Lat,57.407478,Elevation,450,ft,,
Station no,5713/9/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.33,5,3.63
February,,,,,,,,4.46,2.06,4.03
March,,,,,,,,2.4,2.09,1.01
April,,,,,,,,3,5.4,5.22
May,,,,,,,,5.22,1.25,1.03
June,,,,,,,,2.6,2.47,2.76
July,,,,,,,,1.42,5.22,2.14
August,,,,,,,,3.95,2.75,5.64
September,,,,,,,,3.75,1.35,2.42
October,,,,,,,4.88,7.47,7.52,2.81
November,,,,,,,3.7,1.65,6.59,3.18
December,,,,,,,10.2,5.13,8.17,4.98
Total,,,,,,,,46.38,49.87,38.85
,,,,,,,,,,
BR 1958 P Jul Au Sep  Estimated,,,,,,,,,,
BR 1959 () Dec Est,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5713/9/2,,,,,,,,,
Midas,14600,to 2012,,,,,,,,
Hyd Stn,796921,,,,,,,,,
