TADWORTH DEPOT,,,,,,,,,,,,
Grid ref,TQ232561,Long,-0.234566,Lat,51.290715,,,,,,,
Station no,131/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,1.48,,
July,,,,,,,,,,3.20,,
August,,,,,,,,,,3.79,,
September,,,,,,,,,,3.29,,
October,,,,,,,,,,6.54,,
November,,,,,,,,,,5.45,,
December,,,,,,,,,,3.64,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
