LINHOPE (BRAEHEAD),,,,,,,,,,
Grid ref,NT406007,Long,-2.937033,Lat,55.296808,Elevation,890,ft,,
Station no,5042/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.96,6.26
February,,,,,,,,,2.01,8.74
March,,,,,,,,,3.98,1.63
April,,,,,,,,,4.59,4.76
May,,,,,,,,,1.55,2.38
June,,,,,,,,,3.54,3.17
July,,,,,,,,,4.68,5.13
August,,,,,,,,,1.46,5.55
September,,,,,,,,,1.43,3.53
October,,,,,,,,,4.89,4.23
November,,,,,,,,1.53,10.13,8.55
December,,,,,,,,5.35,9.31,5.3
Total,,,,,,,,,51.53,59.23
,,,,,,,,,,
"src_id 15986, station name BRAEHEAD",,,,,,,,,,
