KIRKBY LONSDALE (Rev Ware),,,,,,,,,,,
Grid ref,SD611789,Long,-2.598,Lat,54.2045,Elevation,210,ft,,,
Station no,3725,,,,,,,,,,
,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870
January,,,,,4.62,3.66,5.88,5.54,4.04,5.12,4.12
February,,,,,2.72,3.12,6.13,5.01,4.88,7.91,1.92
March,,,,,4.28,2.16,2.4,1.95,7.19,1.1,1.83
April,,,,,1.72,1.81,1.15,6.24,2.47,3.59,2.43
May,,,,,2.87,4.42,2.55,2.53,1.62,-999,3.15
June,,,,,5.3,0.55,4.78,2.6,0.55,-999,1.76
July,,,,,2.97,2.7,5.16,3.25,1.18,-999,1.52
August,,,,,3.29,6.9,5.85,4.48,4.85,-999,1.68
September,,,,,5.28,1.9,9.92,5.42,2.39,-999,2.92
October,,,,,2.5,5.31,3.23,4.67,5.01,3.44,7.57
November,,,,,3.99,3.34,7.85,2.1,2.43,6.36,2.72
December,,,,,4.77,2.4,7.61,3.98,8.91,5.54,2.51
Total,,,,,44.31,38.27,62.51,47.77,45.52,51.44,34.13
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
IDR 1869 May-Sep (-999),,,,,,,,,,,
