HARROGATE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6419,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,0.90,2.09,6.32,1.23,2.62,3.86,2.92,3.28,2.50,,
February,,3.60,1.04,0.98,1.93,2.04,4.41,2.40,1.49,3.21,,
March,,4.80,4.86,1.89,2.91,1.63,1.76,2.54,2.79,1.94,,
April,,1.20,2.53,0.88,1.75,1.25,1.57,3.84,2.18,1.62,,
May,,0.70,3.25,1.93,2.63,2.22,1.25,2.24,1.93,5.13,,
June,,2.43,2.51,3.56,2.36,0.90,4.39,1.79,0.36,1.21,,
July,,3.18,2.31,1.65,0.70,1.91,3.94,3.28,0.62,0.28,,
August,,1.70,3.82,4.01,0.89,4.44,3.25,3.30,3.11,1.24,,
September,,3.60,2.50,3.10,2.10,0.30,6.11,1.85,3.39,3.64,,
October,,1.38,4.95,4.55,4.75,5.79,2.52,2.31,3.31,1.73,,
November,2.70,3.43,0.89,3.35,2.35,3.43,3.50,1.29,2.59,2.28,,
December,4.70,1.59,1.83,2.54,2.88,1.17,2.88,2.47,7.78,4.67,,
Total,,28.51,32.58,34.76,26.48,27.70,39.44,30.23,32.83,29.45,,
Calc annual,7.40,28.51,32.58,34.76,26.48,27.70,39.44,30.23,32.83,29.45,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
