"GARTMORE HOUSE GARDENS, OLD GAUGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5506,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,10.31,6.70,,,,,,,,,
February,,1.71,5.93,,,,,,,,,
March,,10.53,2.69,,,,,,,,,
April,1.94,1.70,3.09,,,,,,,,,
May,6.73,4.11,7.27,,,,,,,,,
June,2.22,0.55,2.43,,,,,,,,,
July,4.27,4.58,4.22,,,,,,,,,
August,6.85,7.54,3.17,,,,,,,,,
September,3.69,3.57,3.08,,,,,,,,,
October,2.68,7.12,3.53,,,,,,,,,
November,6.61,4.73,5.13,,,,,,,,,
December,4.07,10.84,5.77,,,,,,,,,
Total,,67.29,53.01,,,,,,,,,
Calc annual,39.06,67.29,53.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
