MALVERN WELLS (GLOUCESTER HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2379/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.42,2.63,6.26,2.44,1.51,2.11,2.30,3.66,1.33,0.45,,
February,3.21,0.64,1.77,0.67,1.80,1.84,1.66,1.08,0.93,4.64,,
March,2.62,2.85,1.27,0.53,0.70,0.92,6.63,1.24,1.40,1.53,,
April,1.37,1.09,1.18,1.52,1.16,2.19,2.54,2.09,2.58,1.69,,
May,2.22,4.05,3.88,0.66,2.68,3.05,1.99,3.20,2.36,2.01,,
June,2.00,0.09,1.49,1.89,3.54,2.43,1.71,1.80,0.46,1.95,,
July,2.62,1.75,1.60,2.44,2.58,1.66,1.44,1.01,1.35,2.70,,
August,3.87,3.46,1.88,3.07,3.05,5.75,1.16,5.52,2.36,3.58,,
September,0.95,1.42,2.34,2.70,1.81,3.82,1.45,3.24,1.78,3.58,,
October,2.74,2.43,2.24,3.97,3.03,0.61,0.52,2.62,5.42,0.77,,
November,3.04,1.20,1.63,4.49,0.33,4.86,1.94,1.36,3.00,4.52,,
December,1.47,4.56,1.15,1.92,4.43,2.49,2.19,4.31,1.14,1.47,,
Total,29.53,26.17,26.69,26.30,26.62,31.73,25.53,31.13,24.11,28.89,,
Calc annual,29.53,26.17,26.69,26.30,26.62,31.73,25.53,31.13,24.11,28.89,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
