"MAIDENHEAD HEYWOOD PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4192,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.91,1.35,3.59,2.72,0.59,3.38,1.14,0.98,2.85,2.91,,
February,2.59,1.49,1.90,0.76,2.33,3.12,3.36,0.64,1.26,3.09,,
March,0.87,1.56,3.53,1.77,4.39,1.23,3.76,1.56,0.73,3.85,,
April,2.16,1.69,0.00,2.79,0.68,0.83,0.62,2.03,3.61,2.47,,
May,1.85,2.95,1.79,2.01,1.59,3.06,2.07,1.60,2.02,,,
June,4.81,1.57,3.91,0.56,1.36,0.39,2.47,3.06,0.89,,,
July,1.84,0.40,1.67,0.55,1.79,4.57,1.04,4.89,4.43,,,
August,2.12,0.99,4.86,0.49,1.48,2.42,3.71,3.99,1.25,,,
September,0.29,1.47,2.44,1.43,0.90,2.02,1.15,1.98,5.62,,,
October,3.14,2.21,2.44,3.71,1.72,2.49,3.34,4.51,1.47,,,
November,2.84,3.15,2.32,1.88,2.50,1.80,3.84,1.02,2.31,,,
December,3.78,5.20,3.20,0.92,6.79,5.24,2.79,0.59,2.32,,,
Total,28.20,24.03,31.65,19.59,26.12,30.55,29.29,26.85,28.76,,,
Calc annual,28.20,24.03,31.65,19.59,26.12,30.55,29.29,26.85,28.76,12.32,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
