"DUNFORD BRIDGE WINDLEDEN STREAM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,4.98,,,,,,,,,
February,,,1.95,,,,,,,,,
March,,,5.72,,,,,,,,,
April,,,2.29,,,,,,,,,
May,,,4.01,,,,,,,,,
June,,,5.69,,,,,,,,,
July,,,4.81,,,,,,,,,
August,,,9.08,,,,,,,,,
September,,,2.13,,,,,,,,,
October,,,3.31,,,,,,,,,
November,,,4.52,,,,,,,,,
December,,,7.23,,,,,,,,,
Total,,,55.72,,,,,,,,,
Calc annual,0.00,0.00,55.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
