"PENZANCE COUNTY SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,4.71,7.13,1.59,4.63,2.05,3.14,4.60,5.80,,
February,,,4.08,1.08,4.19,6.95,7.25,1.65,2.39,5.85,,
March,,,6.23,4.33,7.13,0.87,5.25,4.56,1.73,5.06,,
April,,,0.55,4.78,2.08,1.75,1.78,2.14,2.05,2.44,,
May,,,1.45,3.77,1.13,2.75,1.70,2.08,1.16,1.53,,
June,,,2.99,1.49,2.36,2.88,1.68,4.01,1.03,1.11,,
July,,,4.32,0.41,4.95,3.69,2.36,1.71,3.16,0.84,,
August,,,9.97,1.94,1.96,1.74,3.49,7.36,1.69,2.97,,
September,,,1.28,2.90,2.92,1.33,2.92,2.75,7.49,1.80,,
October,,4.01,4.14,2.59,2.56,5.24,7.12,6.14,3.31,2.35,,
November,,5.11,3.67,4.72,3.85,2.85,6.35,2.46,3.33,4.12,,
December,,6.98,6.85,4.61,8.37,9.01,5.30,2.28,6.56,6.86,,
Total,,,50.24,39.75,43.09,43.69,47.25,40.28,38.50,40.73,,
Calc annual,0.00,16.10,50.24,39.75,43.09,43.69,47.25,40.28,38.50,40.73,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
