"DORES, ALDORIE SCHOOL HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,3.30,,,,,,,
February,,,,,2.50,,,,,,,
March,,,,,2.90,,,,,,,
April,,,,,1.70,,,,,,,
May,,,,,3.90,,,,,,,
June,,,,,0.90,,,,,,,
July,,,,,3.60,,,,,,,
August,,,,,1.40,,,,,,,
September,,,,,0.90,,,,,,,
October,,,,,0.80,,,,,,,
November,,,,,5.30,,,,,,,
December,,,,,3.80,,,,,,,
Total,,,,,31.00,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
