"TULLYHOGUE, ROCKDALE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,5.30,5.12,4.36,5.00,3.50,,,,,,
February,,1.51,4.54,6.00,1.77,3.67,,,,,,
March,,3.29,1.52,2.21,1.46,1.45,,,,,,
April,,1.22,3.26,4.06,3.39,,,,,,,
May,,2.44,1.85,1.94,5.52,,,,,,,
June,,0.28,2.25,0.94,3.36,,,,,,,
July,,4.10,4.04,3.04,6.29,,,,,,,
August,,4.23,4.08,6.64,5.22,,,,,,,
September,,1.57,3.75,4.59,6.29,,,,,,,
October,,3.70,2.05,4.44,2.65,,,,,,,
November,,4.40,1.57,4.38,2.96,,,,,,,
December,,4.67,4.32,4.62,4.98,,,,,,,
Total,,36.71,38.35,47.22,48.89,,,,,,,
Calc annual,0.00,36.71,38.35,47.22,48.89,8.62,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
