"TURNERS HILL, HILL HOUSE, THE OLD MANSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,574/7,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,4.04,5.41,2.17,2.70,4.03,5.15,2.77,5.40,1.12,4.81,
February,,0.81,3.40,6.13,0.98,5.33,3.19,5.68,2.14,1.01,1.04,
March,,2.12,2.96,3.10,2.18,0.99,0.27,4.35,3.31,0.00,1.36,
April,,1.45,4.17,2.99,3.75,3.39,4.01,2.12,2.35,1.04,1.78,
May,,2.99,1.06,3.15,4.52,3.61,1.80,0.84,1.78,3.07,2.59,
June,,0.03,1.80,0.50,3.46,0.14,3.94,4.18,3.21,1.97,0.63,
July,,0.40,5.09,3.74,4.97,4.17,1.69,3.29,2.27,3.42,2.82,
August,,2.60,3.90,2.65,3.96,2.41,3.11,6.31,3.64,2.95,3.92,
September,,0.90,2.36,2.20,4.13,2.91,0.64,5.36,1.06,0.99,3.25,
October,,1.23,1.37,7.17,4.66,4.79,2.75,2.88,8.02,4.76,2.04,
November,,2.08,2.85,2.52,3.69,4.01,8.35,3.91,3.76,8.90,5.65,
December,,1.98,5.04,3.92,6.00,4.05,0.59,5.76,4.09,9.15,3.56,
Total,,20.63,39.41,40.24,45.00,39.83,35.49,47.45,41.03,38.38,33.45,
Calc annual,0.00,20.63,39.41,40.24,45.00,39.83,35.49,47.45,41.03,38.38,33.45,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
