"DONAGHMORE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6251,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,4.38,3.97,4.66,3.68,6.89,4.25,7.51,1.98,4.88,
February,,,4.66,5.20,1.51,4.16,4.27,2.40,5.65,4.29,1.13,
March,,,1.69,2.05,1.19,1.64,2.62,3.07,3.95,0.43,2.41,
April,,,2.77,4.13,3.22,4.27,1.88,1.78,1.85,1.66,2.51,
May,,,2.02,1.70,5.47,5.76,3.21,2.06,1.38,3.04,1.66,
June,,,1.90,0.68,3.30,0.94,2.68,3.84,6.21,3.11,2.20,
July,,,3.69,2.97,5.51,3.48,5.58,3.11,1.83,3.43,5.44,
August,,,3.73,6.42,4.87,2.45,3.76,4.06,5.62,8.09,7.35,
September,,,3.86,4.74,6.27,3.53,2.41,4.95,2.93,1.32,3.15,
October,,,1.70,4.17,2.20,3.33,3.76,3.38,6.51,6.96,6.01,
November,,,1.22,4.13,3.33,2.17,4.52,4.36,5.61,4.35,4.92,
December,,,3.80,4.46,5.94,4.13,1.56,2.37,3.57,7.95,3.94,
Total,,,35.42,44.62,47.47,39.54,43.14,39.63,52.62,46.61,45.60,
Calc annual,0.00,0.00,35.42,44.62,47.47,39.54,43.14,39.63,52.62,46.61,45.60,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
