"SEAFORD, BOWDEN HOUSE SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,500,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,3.20,1.23,2.20,2.92,,,,,,
February,,,1.97,3.46,0.61,2.95,,,,,,
March,,,1.48,1.98,1.53,0.53,,,,,,
April,,,3.17,2.50,2.36,2.82,,,,,,
May,,,0.54,2.78,3.84,2.60,,,,,,
June,,,1.74,0.47,1.77,0.14,,,,,,
July,,,1.97,4.30,2.37,5.73,,,,,,
August,,,2.66,2.25,3.28,1.70,,,,,,
September,,,3.09,2.61,3.11,2.40,,,,,,
October,,,1.12,5.10,4.35,2.75,,,,,,
November,,,1.53,2.29,2.81,2.44,,,,,,
December,,,2.31,3.34,3.53,3.89,,,,,,
Total,,,24.78,32.31,31.76,30.87,,,,,,
Calc annual,0.00,0.00,24.78,32.31,31.76,30.87,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,
