"FARLINGTON PUMPING STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,681,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,2.25,4.80,1.34,3.65,
February,,,,,,,,3.93,1.87,1.27,1.45,
March,,,,,,,,2.51,1.96,0.13,1.39,
April,,,,,,,,1.79,1.91,0.83,2.42,
May,,,,,,,,0.94,1.53,2.05,1.50,
June,,,,,,,,2.75,2.15,1.49,0.59,
July,,,,,,,,2.65,1.62,1.92,2.16,
August,,,,,,,,2.82,2.41,1.75,3.20,
September,,,,,,,,5.33,1.15,0.40,2.24,
October,,,,,,,,1.81,6.60,3.60,2.66,
November,,,,,,,,3.00,2.89,7.14,4.51,
December,,,,,,,,4.72,3.19,5.50,2.79,
Total,,,,,,,,34.50,32.08,27.42,28.56,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.50,32.08,27.42,28.56,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,
