"CASTLE ASHBY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1104,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.60,2.81,3.18,1.20,2.52,1.18,3.40,2.29,3.74,1.29,2.96,
February,0.77,0.39,2.21,4.06,0.54,2.53,3.51,2.92,1.84,0.76,0.76,
March,2.18,0.85,1.80,1.83,0.72,0.71,0.57,2.18,1.55,0.06,1.52,
April,3.91,1.08,3.89,1.85,3.11,1.72,2.80,1.71,1.60,1.74,2.22,
May,1.49,1.23,1.65,1.44,4.72,2.77,2.84,0.64,1.14,1.42,2.73,
June,1.87,0.48,0.88,0.69,1.74,0.02,2.89,3.86,2.18,0.98,0.87,
July,3.65,0.34,4.45,4.14,3.57,1.97,1.55,2.09,2.81,2.16,2.56,
August,1.01,1.86,5.49,1.93,2.15,1.61,1.53,3.52,1.92,1.09,2.21,
September,1.97,1.15,2.12,2.16,3.05,3.41,2.41,4.90,0.71,0.35,3.77,
October,1.75,1.56,0.84,3.18,4.18,3.62,2.25,1.61,3.57,2.85,1.23,
November,1.32,1.71,1.22,1.41,2.73,1.82,3.54,2.79,2.97,5.96,3.38,
December,1.94,1.44,2.69,2.54,3.18,2.85,0.60,3.65,2.58,4.58,2.31,
Total,24.46,14.90,30.42,26.43,32.21,24.21,27.89,32.16,26.61,23.24,26.52,
Calc annual,24.46,14.90,30.42,26.43,32.21,24.21,27.89,32.16,26.61,23.24,26.52,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,
