"WAREHAM (FRIGON)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1572,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.40,4.19,5.61,1.79,3.03,5.10,5.13,2.45,5.29,1.86,-999.00,
February,0.42,0.67,2.81,7.31,0.46,5.33,2.22,3.58,2.81,1.13,-999.00,
March,2.59,1.32,2.72,1.86,1.81,0.92,0.64,3.55,3.35,0.14,-999.00,
April,3.51,0.94,3.82,3.72,3.21,2.74,4.43,1.88,1.93,0.95,-999.00,
May,1.53,2.00,0.70,1.96,5.06,3.61,2.65,1.12,1.58,2.28,-999.00,
June,2.44,0.76,0.76,0.46,2.41,0.13,3.51,2.94,1.94,1.68,-999.00,
July,4.97,0.53,4.52,0.81,3.15,3.06,1.94,2.20,1.75,1.09,-999.00,
August,1.48,1.99,2.82,2.21,3.26,2.30,0.85,3.23,3.10,1.52,-999.00,
September,1.57,0.84,1.82,2.69,3.23,3.45,0.66,6.44,2.60,0.50,-999.00,
October,2.35,1.16,1.80,5.71,5.62,4.71,4.69,3.26,7.81,4.42,-999.00,
November,2.18,2.65,2.72,1.90,4.05,3.64,11.85,3.69,4.02,10.36,-999.00,
December,3.82,1.55,5.14,4.33,6.40,4.24,0.85,5.36,4.07,7.57,-999.00,
Total,31.26,18.60,35.24,34.75,41.69,39.23,39.42,39.70,40.25,33.50,-999.00,
Calc annual,31.26,18.60,35.24,34.75,41.69,39.23,39.42,39.70,40.25,33.50,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-999.00,
