"SHOEBURYNESS (NEW RANGES)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1267,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.91,1.42,2.49,1.26,,1.12,1.46,1.76,2.27,,,
February,0.33,0.86,1.40,2.34,,1.73,2.58,3.05,0.81,,,
March,0.50,1.14,1.12,1.35,,0.88,0.04,1.61,1.70,,,
April,2.08,1.21,2.06,1.05,,-999.00,3.28,1.32,1.52,,,
May,0.52,0.71,0.74,1.69,,1.71,0.93,1.28,1.40,,,
June,1.21,0.11,0.87,0.51,,0.40,1.70,2.11,2.50,,,
July,3.40,0.22,2.25,0.99,,2.41,1.90,2.79,1.61,,,
August,1.41,0.57,1.54,1.34,,2.41,0.81,2.68,2.15,,,
September,3.68,1.13,2.21,1.09,,1.54,0.32,2.55,0.17,,,
October,1.34,0.54,1.58,4.22,,2.39,2.56,0.95,1.88,,,
November,0.68,1.75,0.81,1.94,,2.43,3.08,2.13,1.77,,,
December,2.15,1.07,1.59,1.75,,2.54,0.67,2.90,3.41,,,
Total,19.21,10.73,18.66,19.53,,20.94,19.33,25.13,21.19,,,
Calc annual,19.21,10.73,18.66,19.53,0.00,19.56,19.33,25.13,21.19,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,NaN,1.38,-0.00,0.00,0.00,NaN,NaN,
