"LLANELLY (UPPER LLEIDI RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4110,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.98,8.19,6.09,4.62,6.64,4.25,8.57,6.79,12.94,4.06,9.97,
February,2.93,0.21,7.38,9.53,0.71,9.29,6.62,5.17,6.66,2.26,0.91,
March,8.03,5.34,4.70,3.20,3.20,1.39,1.18,5.59,4.92,2.26,3.59,
April,8.56,2.12,3.93,3.85,4.44,4.30,2.63,2.40,1.72,1.59,3.64,
May,5.52,3.44,2.80,3.64,4.83,7.18,3.31,2.56,1.27,5.15,3.37,
June,4.93,0.04,1.94,1.32,4.55,0.00,2.66,5.92,7.08,2.65,2.49,
July,9.15,3.86,7.44,3.87,6.10,3.03,4.77,5.19,4.64,4.75,5.70,
August,4.22,7.01,6.71,7.35,8.20,6.77,6.49,9.84,5.40,5.10,7.20,
September,7.97,2.55,6.79,5.67,7.54,4.99,1.69,7.95,3.14,0.96,5.98,
October,7.39,2.98,2.04,8.65,7.93,6.88,4.04,4.48,10.69,7.89,8.58,
November,3.85,4.56,2.86,6.62,4.23,4.71,10.58,7.71,9.35,14.54,5.90,
December,6.29,5.18,6.48,7.07,9.94,4.42,0.76,4.62,6.71,11.63,9.08,
Total,77.82,45.48,59.16,65.39,68.31,57.21,53.30,68.22,74.52,62.84,66.41,
Calc annual,77.82,45.48,59.16,65.39,68.31,57.21,53.30,68.22,74.52,62.84,66.41,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
