"BATTLE, CAMPFIELD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,547,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,2.75,3.45,3.25,2.42,4.63,1.08,3.65,
February,,,,,0.87,3.64,3.36,3.36,1.53,1.22,1.69,
March,,,,,1.82,0.79,0.42,3.74,2.05,0.02,2.43,
April,,,,,3.24,2.78,3.46,2.02,2.75,0.98,1.60,
May,,,,,3.41,2.80,2.25,0.76,2.54,2.56,2.87,
June,,,,,1.59,0.18,4.16,4.50,2.63,1.81,1.25,
July,,,,,3.30,5.09,1.94,3.55,1.62,1.84,3.53,
August,,,,,4.49,1.90,2.22,4.92,1.64,2.47,3.57,
September,,,,,2.44,2.60,0.57,4.41,0.35,0.97,3.94,
October,,,,,5.18,4.14,3.08,1.71,7.55,3.89,3.38,
November,,,,,3.52,3.48,7.44,4.04,4.55,7.33,6.63,
December,,,,,4.73,5.02,0.74,5.07,3.01,8.46,3.79,
Total,,,,,37.34,35.87,32.89,40.50,34.85,32.63,38.33,
Calc annual,0.00,0.00,0.00,0.00,37.34,35.87,32.89,40.50,34.85,32.63,38.33,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
