"TILLICOULTRY SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,5.46,4.49,2.65,3.78,5.02,,,,,,
February,,0.35,2.89,4.22,1.07,4.85,,,,,,
March,,3.92,2.27,1.61,0.75,2.03,,,,,,
April,,1.11,2.22,3.36,2.16,4.46,,,,,,
May,,2.06,2.52,1.75,4.96,5.09,,,,,,
June,1.92,0.20,1.85,1.10,2.09,0.39,,,,,,
July,2.72,3.08,4.03,3.75,4.59,,,,,,,
August,4.51,5.74,2.14,6.87,4.00,,,,,,,
September,2.64,1.70,1.78,3.96,3.47,,,,,,,
October,1.32,4.03,1.91,3.95,3.80,,,,,,,
November,3.78,2.38,2.83,2.97,2.91,,,,,,,
December,4.20,4.49,2.66,2.98,5.64,,,,,,,
Total,,34.52,31.59,39.17,39.22,,,,,,,
Calc annual,21.09,34.52,31.59,39.17,39.22,21.84,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
