"FISHER TARN RESERVOIR, NEAR KENDAL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3718/6,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,5.21,4.63,7.53,4.49,7.10,5.28,10.32,1.42,8.47,
February,,,5.54,6.54,0.77,5.77,8.06,3.86,5.95,0.59,0.38,
March,,,3.39,2.02,2.19,1.46,2.71,4.57,4.26,1.12,2.84,
April,,,2.69,3.96,2.51,4.86,2.02,2.61,1.68,2.34,1.64,
May,,,3.49,3.55,8.35,5.95,2.49,1.84,0.84,1.92,1.04,
June,,,2.72,1.29,4.07,0.22,4.00,4.33,6.79,2.24,2.91,
July,,,7.11,6.05,6.51,2.69,5.28,5.50,7.84,4.53,4.28,
August,,,5.93,9.70,4.75,5.47,5.28,7.11,7.23,6.39,6.25,
September,,,3.93,6.36,7.97,4.73,4.91,7.11,3.71,1.80,2.69,
October,,,1.73,9.00,4.70,6.48,6.00,4.89,6.18,6.13,8.80,
November,,,3.27,8.00,4.30,1.59,3.48,6.78,7.82,7.14,5.87,
December,,,7.53,5.42,9.37,4.98,7.52,1.83,3.29,5.81,5.43,
Total,,,52.54,66.52,63.02,48.69,58.85,55.71,65.91,41.43,50.60,
Calc annual,0.00,0.00,52.54,66.52,63.02,48.69,58.85,55.71,65.91,41.43,50.60,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
