ST.OLAVE'S PRIORY. BOAT HO.GAUGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6818,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,2.09,3.01,2.45,3.34,1.62,2.01,2.75,,,
February,,,1.46,0.70,1.53,2.89,4.02,1.34,0.83,,,
March,,,2.50,2.28,3.40,1.82,3.45,2.80,0.85,,,
April,,,0.32,2.23,0.77,0.90,1.75,2.45,3.41,,,
May,,,0.75,1.51,1.47,2.09,1.91,0.47,0.87,,,
June,,,2.60,1.35,2.04,2.01,3.51,3.37,0.84,,,
July,,,2.94,2.90,2.58,5.50,-999.00,3.30,3.79,,,
August,,,7.28,1.20,0.46,3.25,2.80,3.94,3.03,,,
September,,,2.90,1.11,1.10,1.61,1.69,1.70,4.86,,,
October,,,1.69,3.59,2.20,2.71,2.83,3.24,2.84,,,
November,,,2.81,1.98,3.41,3.32,3.14,1.71,1.61,,,
December,,,2.06,1.00,5.54,3.94,3.54,1.97,3.46,,,
Total,,,29.40,22.86,26.95,33.38,31.06,28.30,29.14,,,
Calc annual,0.00,0.00,29.40,22.86,26.95,33.38,30.26,28.30,29.14,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,NaN,,
