MAYBOLE (OTTERDEN) NEW SITE,,,,,,,,,,
Grid ref,NS308147,Long,-4.673307,Lat,55.396977,Elevation,350,ft,,
Station no,5261,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.28,3.28,4.46,4.08,1.42,4.59
February,,,,,2.05,0.79,2.67,3.87,2.05,3.71
March,,,,,1.57,1.68,4.11,1.14,2.65,1.96
April,,,,,2.73,1.49,2.45,1.76,2.19,2.62
May,,,,,3.29,2.29,1.79,2.95,1.58,1.81
June,,,,,3.31,2.42,2.23,3.18,3.32,2.18
July,,,,,1.91,4.87,4.44,5.38,4.32,3.35
August,,,,,1.88,6.24,4.47,5.55,1.05,3.99
September,,,,,3.85,3.8,4.1,3.07,2.11,3.26
October,,,,,2.5,3.38,4.84,3.46,5.03,2
November,,,,,2.34,2.04,2.23,2.28,4.38,6.24
December,,,,,5.01,4.66,3.99,4.02,5.5,5.03
Total,,,,,33.72,36.94,41.78,40.74,35.6,40.74
