"SOULDROP",,,,,,,,,,,,
Grid ref,SP984615,Long,-0.560265,Lat,52.242899,,,,,,,
Station no,1184/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.82,2.20,4.07,1.20,2.70,3.57,3.16,,
February,,,,2.09,1.86,0.68,2.46,2.70,0.08,2.35,,
March,,,,2.14,1.99,0.73,2.17,1.68,2.53,2.01,,
April,,,,0.25,0.48,1.08,0.35,0.96,2.00,0.37,,
May,,,,3.20,3.46,0.45,1.93,1.83,0.41,1.46,,
June,,,,3.26,2.63,2.91,2.50,5.19,0.74,3.04,,
July,,,,3.01,0.18,4.11,2.94,3.27,1.68,3.22,,
August,,,,4.14,1.00,4.45,1.68,2.59,0.60,2.83,,
September,,,,2.37,1.50,1.83,3.78,2.55,0.03,4.51,,
October,,,,2.09,1.61,1.53,1.99,2.27,1.67,5.20,,
November,,,,4.39,1.52,1.02,1.70,1.80,2.03,3.54,,
December,,,,2.62,2.08,2.67,2.30,2.69,3.86,3.25,,
Total,,,,30.38,20.51,25.53,25.00,30.23,19.20,34.94,,
Calc annual,0.00,0.00,0.00,30.38,20.51,25.53,25.00,30.23,19.20,34.94,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
