HULL NORTH PARADE BEVERLEY ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6522,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,2.31,1.65,,,
February,,,,,,,,1.08,1.39,,,
March,,,,,,,,1.88,2.03,,,
April,,,,,,,,2.15,1.96,,,
May,,,,,,,,2.08,0.61,,,
June,,,,,,,,0.67,0.90,,,
July,,,,,,,,3.09,0.70,,,
August,,,,,,,,1.81,3.21,,,
September,,,,,,,,1.89,1.56,,,
October,,,,,,,,1.98,2.65,,,
November,,,,,,,,1.03,1.82,,,
December,,,,,,,,2.73,6.23,,,
Total,,,,,,,,22.70,24.71,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,24.71,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,,
