"DARTFORD THE DOWNS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,0.88,2.37,3.30,1.72,0.86,2.82,1.32,5.19,0.85,2.00,,
February,0.46,0.95,0.70,1.80,1.11,0.61,1.41,1.37,0.92,2.85,,
March,1.52,1.27,1.84,1.13,0.52,0.20,2.76,2.58,0.97,0.68,,
April,0.31,2.43,1.22,0.51,1.56,1.25,1.56,2.42,3.85,2.13,,
May,0.38,0.71,3.71,0.82,1.11,1.33,0.74,1.73,3.46,2.92,,
June,0.49,2.60,1.72,3.34,2.47,1.98,1.11,1.03,1.94,3.29,,
July,1.41,2.81,2.69,2.17,1.46,4.05,0.32,1.90,2.03,3.00,,
August,1.45,0.78,1.70,2.73,1.98,1.26,2.66,1.98,6.54,3.34,,
September,2.10,4.23,1.25,2.40,2.22,1.81,2.73,0.85,0.82,2.59,,
October,2.74,1.09,3.73,2.55,4.49,3.74,0.73,1.38,1.49,0.49,,
November,1.35,0.47,2.92,1.93,2.19,3.08,2.56,3.32,3.05,0.04,,
December,3.19,1.07,3.60,0.36,1.75,1.84,5.87,1.92,1.42,2.03,,
Total,16.28,20.78,28.38,21.46,21.72,23.97,23.77,25.67,27.34,25.36,,
Calc annual,16.28,20.78,28.38,21.46,21.72,23.97,23.77,25.67,27.34,25.36,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
