"DORNOCH OSPISDALE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,2.15,2.92,2.91,1.09,3.68,2.90,,,
February,,,,1.22,0.55,1.08,4.10,5.06,0.98,,,
March,,,,1.28,1.20,1.57,4.83,3.45,3.40,,,
April,,,,3.05,1.45,1.48,2.87,1.95,0.33,,,
May,,,,2.06,2.91,1.26,1.22,2.23,2.49,,,
June,,,,1.75,1.30,1.87,1.78,4.53,1.88,,,
July,,,,4.73,2.35,2.90,2.21,3.32,1.37,,,
August,,,,2.80,5.33,2.50,1.24,6.08,3.71,,,
September,,,,4.71,3.49,2.40,3.00,1.19,4.02,,,
October,,,,4.46,3.82,2.62,3.07,4.03,3.65,,,
November,,,,4.79,2.78,3.46,3.23,4.07,4.67,,,
December,,,,2.97,2.43,2.09,4.72,3.81,4.72,,,
Total,,,,35.97,30.53,26.14,33.36,43.40,34.12,,,
Calc annual,0.00,0.00,0.00,35.97,30.53,26.14,33.36,43.40,34.12,0.00,,
Difference,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,-0.00,0.00,NaN,,
