"DARTMOOR PRISON GARDEN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1707,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,5.67,6.23,15.82,10.14,11.33,15.82,3.70,17.32,,,,
February,9.06,7.32,10.91,4.00,7.00,3.61,9.64,6.67,,,,
March,5.15,3.87,8.89,4.45,2.96,2.85,6.30,5.58,,,,
April,0.73,10.82,4.18,0.75,3.87,2.79,7.25,9.16,,,,
May,4.53,0.54,3.56,2.25,1.34,4.36,0.45,8.62,,,,
June,0.93,4.54,9.70,2.94,2.58,6.52,3.98,4.92,,,,
July,2.44,12.12,5.36,4.78,2.89,7.09,3.44,11.49,,,,
August,2.61,3.70,3.76,7.57,6.71,4.66,6.98,12.27,,,,
September,3.74,9.65,7.04,2.64,8.96,7.96,12.77,5.75,,,,
October,10.45,10.20,10.83,3.24,11.49,10.50,7.61,8.58,,,,
November,5.25,2.33,12.38,5.41,4.93,9.26,8.94,16.78,,,,
December,4.14,8.04,13.49,2.52,7.19,4.11,21.91,4.99,,,,
Total,54.70,79.36,105.92,50.69,71.25,79.53,92.97,112.13,,,,
Calc annual,54.70,79.36,105.92,50.69,71.25,79.53,92.97,112.13,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
