TONBRIDGE (THORPE AVENUE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,346/8,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,2.59,1.60,2.25,1.22,3.20,,,,,,
February,,0.50,2.35,0.24,4.39,2.22,,,,,,
March,,1.58,3.06,2.92,0.44,1.27,,,,,,
April,,2.33,0.73,1.98,3.06,1.85,,,,,,
May,,3.91,2.25,0.62,1.86,0.18,,,,,,
June,,0.18,1.34,1.47,2.21,4.66,,,,,,
July,,2.42,1.52,2.16,0.97,3.82,,,,,,
August,,0.57,0.75,1.80,3.75,1.50,,,,,,
September,,1.86,3.47,1.24,3.82,2.78,,,,,,
October,,5.76,1.81,1.95,3.69,2.29,,,,,,
November,,0.88,1.23,2.90,6.39,5.02,,,,,,
December,,0.65,0.45,6.04,2.98,2.76,,,,,,
Total,,23.23,20.56,25.57,34.78,31.55,,,,,,
Calc annual,0.00,23.23,20.56,25.57,34.78,31.55,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
