"BRADFORD MANNINGHAM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR3099,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,1.75,0.57,3.90,3.69,0.80,2.74,1.56,4.93,,
February,,,2.47,3.25,5.67,0.34,0.62,2.94,1.97,2.15,,
March,,,0.85,0.90,2.88,2.46,3.56,4.30,1.43,1.41,,
April,,,1.20,0.67,2.38,2.93,1.89,2.25,2.81,2.36,,
May,,,2.80,2.09,1.40,0.35,0.58,1.08,2.49,3.42,,
June,,,3.38,2.11,2.48,2.89,3.68,3.19,2.10,1.26,,
July,,,1.82,3.97,2.83,5.91,2.00,0.92,0.71,1.97,,
August,,,2.68,1.46,2.74,3.02,1.24,3.11,2.51,1.72,,
September,,,1.88,1.60,0.69,1.32,5.62,3.09,0.64,4.19,,
October,,,6.81,1.96,5.06,2.90,3.98,1.88,4.57,2.62,,
November,,,1.95,1.28,1.57,3.49,1.61,2.75,2.69,1.37,,
December,,,0.75,3.77,2.11,3.24,3.78,4.57,3.43,3.07,,
Total,,,28.34,23.63,33.71,32.54,29.36,32.82,26.91,30.47,,
Calc annual,0.00,0.00,28.34,23.63,33.71,32.54,29.36,32.82,26.91,30.47,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
